iter	Passed	Remaining
0	3	2622
1	8	3718
2	13	3642
3	16	3519
4	20	3410
5	24	3410
6	28	3351
7	31	3246
8	35	3308
9	39	3302
10	44	3390
11	48	3377
12	54	3462
13	63	3723
14	67	3694
15	72	3742
16	77	3739
17	79	3649
18	83	3621
19	87	3596
20	92	3608
21	96	3588
22	100	3590
23	105	3575
24	109	3572
25	113	3554
26	118	3567
27	122	3557
28	126	3548
29	130	3531
30	135	3536
31	139	3532
32	146	3594
33	154	3671
34	159	3663
35	164	3668
36	168	3668
37	172	3652
38	177	3649
39	181	3633
40	185	3621
41	189	3605
42	194	3601
43	197	3584
44	201	3569
45	205	3554
46	209	3545
47	213	3531
48	217	3517
49	221	3504
50	225	3498
51	229	3485
52	233	3475
53	241	3514
54	247	3534
55	251	3520
56	255	3508
57	258	3495
58	262	3482
59	266	3471
60	270	3459
61	274	3453
62	278	3442
63	283	3445
64	287	3434
65	291	3422
66	295	3415
67	299	3405
68	303	3394
69	308	3393
70	311	3383
71	315	3372
72	319	3363
73	324	3359
74	329	3367
75	337	3394
76	341	3385
77	345	3375
78	349	3370
79	353	3360
80	357	3350
81	361	3344
82	365	3333
83	368	3325
84	373	3323
85	377	3314
86	381	3304
87	385	3296
88	389	3293
89	393	3284
90	397	3276
91	401	3267
92	405	3264
93	409	3257
94	413	3248
95	417	3240
96	424	3256
97	429	3257
98	433	3250
99	438	3246
100	442	3239
101	445	3230
102	449	3222
103	454	3219
104	458	3211
105	460	3192
106	464	3185
107	468	3178
108	472	3174
109	476	3169
110	480	3161
111	484	3155
112	488	3147
113	492	3140
114	496	3133
115	500	3126
116	504	3119
117	507	3112
118	515	3126
119	521	3131
120	525	3124
121	528	3116
122	532	3110
123	536	3103
124	540	3097
125	544	3090
126	548	3083
127	552	3076
128	556	3070
129	560	3063
130	564	3056
131	567	3050
132	572	3045
133	576	3040
134	580	3034
135	584	3028
136	588	3025
137	592	3018
138	596	3012
139	601	3010
140	609	3025
141	613	3018
142	617	3012
143	621	3005
144	624	2999
145	628	2992
146	632	2986
147	636	2982
148	640	2976
149	644	2970
150	648	2964
151	652	2959
152	656	2953
153	660	2947
154	664	2941
155	668	2935
156	672	2929
157	676	2924
158	680	2918
159	684	2911
160	688	2906
161	693	2907
162	700	2915
163	704	2909
164	708	2903
165	712	2898
166	716	2892
167	720	2886
168	724	2880
169	728	2875
170	732	2869
171	736	2863
172	740	2857
173	743	2851
174	747	2846
175	752	2841
176	756	2836
177	760	2831
178	764	2825
179	768	2821
180	772	2815
181	776	2810
182	780	2804
183	787	2811
184	793	2813
185	797	2808
186	801	2802
187	805	2796
188	808	2790
189	812	2785
190	817	2780
191	821	2775
192	824	2769
193	828	2764
194	833	2760
195	837	2755
196	841	2749
197	845	2744
198	849	2740
199	853	2735
200	857	2730
201	861	2724
202	865	2721
203	869	2715
204	873	2710
205	881	2717
206	885	2712
207	889	2706
208	893	2701
209	897	2696
210	901	2690
211	905	2687
212	909	2681
213	913	2676
214	917	2671
215	921	2666
216	925	2660
217	929	2656
218	933	2650
219	937	2645
220	941	2640
221	945	2635
222	948	2629
223	952	2624
224	956	2619
225	961	2616
226	967	2617
227	975	2623
228	980	2621
229	984	2616
230	988	2611
231	992	2605
232	997	2602
233	1001	2596
234	1005	2591
235	1008	2586
236	1013	2582
237	1017	2577
238	1021	2571
239	1024	2566
240	1028	2561
241	1033	2557
242	1037	2552
243	1041	2547
244	1045	2542
245	1049	2537
246	1053	2532
247	1059	2534
248	1066	2535
249	1070	2530
250	1074	2525
251	1078	2520
252	1082	2515
253	1086	2510
254	1090	2505
255	1094	2500
256	1098	2495
257	1102	2491
258	1106	2486
259	1110	2481
260	1114	2476
261	1118	2472
262	1122	2467
263	1126	2462
264	1130	2457
265	1135	2453
266	1138	2448
267	1142	2443
268	1146	2438
269	1151	2434
270	1155	2429
271	1161	2430
272	1165	2425
273	1169	2420
274	1173	2415
275	1177	2410
276	1181	2405
277	1185	2400
278	1189	2395
279	1192	2390
280	1196	2384
281	1200	2380
282	1204	2375
283	1208	2370
284	1212	2365
285	1216	2361
286	1220	2355
287	1224	2350
288	1228	2346
289	1232	2341
290	1236	2336
291	1240	2332
292	1244	2327
293	1249	2323
294	1252	2318
295	1256	2314
296	1260	2309
297	1264	2304
298	1268	2299
299	1272	2294
300	1276	2290
301	1281	2287
302	1285	2282
303	1289	2277
304	1293	2272
305	1297	2268
306	1301	2263
307	1305	2258
308	1309	2254
309	1313	2249
310	1317	2245
311	1321	2240
312	1325	2235
313	1330	2232
314	1333	2227
315	1337	2222
316	1341	2217
317	1345	2213
318	1349	2208
319	1353	2203
320	1357	2198
321	1360	2193
322	1364	2188
323	1368	2183
324	1372	2178
325	1376	2173
326	1380	2169
327	1383	2164
328	1387	2159
329	1391	2154
330	1395	2150
331	1399	2145
332	1403	2141
333	1407	2136
334	1411	2131
335	1415	2127
336	1419	2122
337	1422	2117
338	1426	2112
339	1432	2110
340	1436	2106
341	1440	2101
342	1444	2097
343	1448	2092
344	1452	2088
345	1456	2083
346	1460	2079
347	1464	2074
348	1470	2072
349	1474	2068
350	1478	2064
351	1482	2059
352	1486	2054
353	1489	2049
354	1494	2045
355	1497	2040
356	1501	2035
357	1505	2031
358	1509	2026
359	1513	2022
360	1517	2017
361	1520	2012
362	1524	2007
363	1529	2003
364	1532	1999
365	1536	1994
366	1540	1989
367	1544	1985
368	1548	1980
369	1551	1975
370	1555	1970
371	1559	1966
372	1563	1962
373	1567	1957
374	1571	1953
375	1575	1948
376	1579	1944
377	1583	1939
378	1587	1934
379	1590	1930
380	1595	1926
381	1599	1921
382	1603	1917
383	1606	1912
384	1611	1908
385	1615	1903
386	1618	1899
387	1622	1894
388	1626	1889
389	1630	1885
390	1634	1880
391	1637	1875
392	1641	1871
393	1645	1866
394	1649	1862
395	1652	1857
396	1656	1852
397	1661	1849
398	1665	1844
399	1668	1839
400	1672	1835
401	1677	1831
402	1680	1826
403	1684	1822
404	1688	1817
405	1692	1813
406	1696	1808
407	1700	1804
408	1703	1799
409	1707	1795
410	1711	1790
411	1715	1785
412	1719	1781
413	1722	1776
414	1726	1772
415	1730	1768
416	1734	1763
417	1738	1759
418	1742	1754
419	1746	1750
420	1750	1745
421	1753	1741
422	1758	1737
423	1761	1732
424	1765	1728
425	1769	1723
426	1773	1719
427	1778	1715
428	1781	1711
429	1785	1706
430	1789	1702
431	1793	1697
432	1796	1693
433	1800	1688
434	1804	1684
435	1809	1680
436	1812	1675
437	1816	1671
438	1820	1667
439	1824	1663
440	1828	1658
441	1832	1654
442	1836	1649
443	1840	1645
444	1844	1641
445	1848	1636
446	1852	1632
447	1856	1628
448	1859	1623
449	1863	1619
450	1867	1614
451	1871	1610
452	1874	1605
453	1878	1601
454	1882	1597
455	1886	1592
456	1889	1588
457	1893	1583
458	1897	1579
459	1901	1574
460	1905	1570
461	1909	1566
462	1913	1562
463	1917	1557
464	1921	1553
465	1925	1549
466	1928	1544
467	1932	1540
468	1936	1535
469	1940	1531
470	1944	1527
471	1947	1522
472	1951	1518
473	1958	1516
474	1964	1513
475	1968	1509
476	1972	1505
477	1976	1500
478	1980	1496
479	1983	1492
480	1988	1487
481	1991	1483
482	1995	1479
483	1999	1474
484	2004	1471
485	2009	1468
486	2013	1463
487	2017	1459
488	2021	1454
489	2024	1450
490	2028	1446
491	2032	1441
492	2036	1437
493	2040	1433
494	2044	1428
495	2047	1424
496	2051	1420
497	2056	1416
498	2059	1411
499	2063	1407
500	2067	1403
501	2071	1398
502	2075	1394
503	2079	1390
504	2082	1385
505	2086	1381
506	2090	1377
507	2094	1373
508	2098	1368
509	2106	1367
510	2112	1364
511	2116	1360
512	2120	1355
513	2124	1351
514	2128	1347
515	2132	1342
516	2135	1338
517	2139	1334
518	2143	1329
519	2147	1325
520	2154	1323
521	2161	1321
522	2165	1316
523	2169	1312
524	2173	1308
525	2177	1303
526	2180	1299
527	2184	1295
528	2188	1291
529	2192	1286
530	2196	1282
531	2203	1280
532	2210	1277
533	2214	1273
534	2218	1269
535	2222	1264
536	2226	1260
537	2229	1255
538	2233	1251
